Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
3,57.9,56.7100507666986,84,30.28,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
3,71.1,72.0136511888708,51,30.15,10,15,11.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,12
2,60.1,60.2534663181048,75,29.94,10,24,4.6,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5
2,19.9,9.25194779771621,71,30.55,10,22,9.2,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
3,73.9,76.1606861427692,57,29.94,10,10,5.8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
2,64,65.2638996638355,73,30.18,9,22,3.5,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
2,81,84.5944183020284,65,29.94,9,15,5.8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
2,80.6,84.0669348882021,42,30.08,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
2,80.1,83.4157400597571,79,29.9,10,24,8.1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9
2,59,55.9868273646134,69,30.15,10,23,16.1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,57.9,55.4687823637712,33,29.92,10,18,11.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2,63,63.6384316547654,93,30.17,10,10,4.6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
3,64,64.8056610812001,90,30.06,10,24,4.6,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9
2,78.1,81.149654462331,76,30.04,10,14,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
2,69.1,70.2272158879957,81,29.85,10,23,6.9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
2,50,46.3121655153085,58,29.71,10,23,9.2,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12
2,41,34.7161652710644,76,29.94,10,17,10.4,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,4,11
2,59.6121951219512,58.7735011431137,67,29.32,9.84287338893101,11,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10
2,75.9,78.1078717162304,85,30.02,10,9,10.4,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,4,10
2,87.1,91.900403909778,44,29.97,10,1,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,55,54.3005962432879,80,30.02,10,9,4.6,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,4,12
2,109,120.769738888956,10,29.8,10,17,18.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
3,102.2,111.341794931989,11,29.9,10,22,13.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2,30,26.3719606428402,88,30.09,3,11,3.5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
3,37,34.3791245589275,79,29.7,10,6,3.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
3,46.9,41.3099048224381,97,29.91,2.5,18,12.7,0.23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
2,59,58.0357147549653,93,30.1,2,1,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
3,91.4,97.9420816119472,63,30.13,7,4,20.7,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7
2,80.1,83.5980548467984,81,30.04,10,24,4.6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
4,45,41.8318327057848,58,29.97,10,15,5.8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
